 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 021 Tríplice Viral  D1, 018 Sarampo
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";75,57;96,54;82,64;105,09;103,70;97,87;59,03;98,62;95,55;61,38;130,63;115,99;125,36;116,70;103,49;102,29;100,41;102,72;105,40;106,52;146,88;109,00;109,79;105,52;102,03;56,62;96,22
"12 Acre";37,05;98,03;54,94;93,04;68,15;74,42;60,88;82,16;91,94;49,48;123,22;95,12;90,84;109,45;94,17;103,45;96,87;105,29;90,28;95,00;99,20;84,21;75,71;79,76;82,94;52,58;83,08
"13 Amazonas";34,81;74,59;71,18;106,45;72,42;83,27;64,43;61,11;77,74;48,53;86,06;104,03;103,37;110,07;101,56;103,13;100,11;94,67;103,39;98,77;114,36;95,42;83,56;84,59;90,09;58,89;82,34
"14 Roraima";90,29;116,47;88,12;110,31;89,50;96,13;80,55;73,33;83,99;57,29;110,32;116,01;94,23;97,31;95,51;100,61;94,49;97,98;87,83;89,07;110,16;108,45;90,77;89,13;105,04;48,20;90,05
"15 Pará";63,49;91,81;59,08;95,61;61,00;85,10;62,18;86,39;118,59;62,07;143,10;116,35;113,05;118,49;111,83;117,62;110,95;109,25;102,20;98,49;115,73;71,92;69,61;70,90;76,15;44,86;89,85
"16 Amapá";...;80,42;70,21;92,11;80,61;100,13;51,51;147,95;72,44;56,55;129,76;99,34;90,41;98,29;93,02;100,57;92,10;93,00;91,55;95,63;113,19;89,02;97,36;77,87;77,01;51,07;88,70
"17 Tocantins";...;...;71,43;122,72;100,32;100,57;52,02;95,24;93,69;59,66;97,41;101,00;100,96;107,82;96,40;103,00;95,33;91,41;91,60;102,24;105,54;94,70;91,89;89,24;90,39;58,69;89,36
"21 Maranhão";45,26;71,00;72,64;102,07;87,08;153,27;93,23;91,95;92,39;62,57;106,30;113,67;110,54;119,71;113,90;118,10;109,99;112,84;98,21;106,37;123,86;90,47;80,01;81,41;82,64;50,05;93,35
"22 Piauí";67,65;64,35;71,03;76,72;86,29;171,19;87,21;99,42;96,56;59,13;116,01;102,50;104,90;107,07;100,90;102,35;97,70;97,02;98,33;102,35;93,10;81,22;81,48;82,55;86,86;54,04;90,74
"23 Ceará";103,72;107,40;98,43;131,76;90,77;211,82;98,18;112,06;104,95;60,89;112,89;110,35;105,30;107,88;103,02;105,67;103,91;110,92;97,61;115,15;140,69;110,83;119,76;105,23;110,24;64,79;107,43
"24 Rio Grande do Norte";80,44;83,70;76,77;95,16;74,91;145,96;73,99;67,39;84,45;60,37;110,20;100,34;107,58;107,25;94,73;101,01;100,72;99,47;98,69;113,05;110,26;94,98;96,05;81,78;88,06;50,99;89,12
"25 Paraíba";...;50,75;74,38;94,59;83,12;173,31;80,23;101,40;99,04;53,60;114,45;107,30;112,97;116,26;102,50;104,40;119,28;102,34;92,72;114,64;120,35;93,67;96,59;96,74;95,77;58,80;95,63
"26 Pernambuco";73,31;104,74;87,24;122,51;113,48;117,38;72,11;87,91;95,68;63,30;113,70;109,15;110,07;113,35;105,71;111,23;104,79;113,67;104,59;120,77;108,46;97,81;112,65;101,28;104,46;63,82;97,75
"27 Alagoas";...;72,36;43,11;65,19;61,49;85,52;56,17;76,08;100,28;50,43;123,77;110,17;103,90;99,63;92,94;105,33;98,58;89,95;93,18;110,72;113,15;98,67;102,24;104,01;106,07;67,73;85,04
"28 Sergipe";...;93,22;83,71;106,09;96,44;220,30;103,07;103,85;105,99;67,60;120,41;93,82;95,89;106,25;99,53;102,66;98,24;98,03;97,34;111,44;94,64;91,99;92,09;89,26;95,30;62,09;100,73
"29 Bahia";82,51;70,49;56,61;86,02;86,40;171,42;90,14;103,61;90,71;58,05;132,66;117,98;114,49;108,20;102,05;108,09;102,97;100,29;97,88;109,17;114,85;90,18;85,70;83,27;80,39;48,83;93,94
"31 Minas Gerais";...;...;...;108,07;82,96;186,83;100,83;101,77;86,69;52,22;115,20;107,46;105,77;109,28;98,69;105,45;99,72;100,80;104,88;108,25;109,22;100,11;98,93;93,59;96,77;65,82;99,07
"32 Espírito Santo";96,21;89,98;94,09;105,21;107,62;219,53;86,27;100,99;100,55;65,93;113,96;110,12;109,37;104,49;100,36;102,47;99,72;103,76;105,07;106,19;109,44;99,04;104,31;87,38;95,37;62,14;100,96
"33 Rio de Janeiro";...;83,79;79,64;105,80;103,65;201,19;95,34;95,39;97,22;57,61;105,97;107,75;102,12;100,54;95,46;96,69;94,98;107,16;97,18;108,16;112,48;105,42;109,26;98,90;99,31;39,13;98,04
"35 São Paulo";...;97,71;95,20;134,43;124,72;237,05;106,71;106,05;102,77;62,21;104,30;102,04;101,19;100,23;96,68;99,13;94,91;100,34;99,54;103,37;105,02;97,91;92,96;91,26;90,38;60,19;102,95
"41 Paraná";...;70,47;90,28;122,89;113,72;193,04;100,72;104,40;100,04;55,46;93,89;99,78;101,21;103,17;94,48;100,19;95,64;98,59;99,94;110,21;113,35;99,44;91,87;91,84;89,37;63,19;99,05
"42 Santa Catarina";87,35;98,68;87,83;107,62;92,18;189,61;101,30;103,40;95,52;58,80;97,79;101,01;100,38;102,40;96,43;103,11;101,30;99,79;100,35;104,61;112,20;103,42;98,97;93,90;91,48;62,31;98,43
"43 Rio Grande do Sul";...;97,74;84,09;97,15;84,22;185,52;87,86;59,77;91,23;57,53;100,61;101,40;101,05;104,53;95,32;95,32;93,63;93,87;91,61;105,65;107,74;87,81;90,45;87,66;88,55;58,89;91,24
"50 Mato Grosso do Sul";...;...;77,15;83,04;90,18;194,32;116,82;102,75;100,04;61,19;98,49;97,99;104,28;106,44;92,66;102,13;100,22;96,29;100,76;113,91;143,76;112,53;100,98;94,93;104,12;61,72;101,34
"51 Mato Grosso";63,74;88,14;78,68;103,39;95,64;177,64;89,77;102,46;98,76;62,18;110,41;109,58;109,83;114,80;100,37;104,65;97,70;98,48;99,32;107,76;120,66;98,71;96,68;91,12;90,81;54,49;96,52
"52 Goiás";43,36;110,09;79,55;113,82;86,15;171,15;96,97;98,45;100,69;56,67;113,78;106,42;109,78;116,26;106,10;106,90;106,82;115,54;107,68;117,77;122,14;94,83;85,93;88,94;87,28;57,14;97,72
"53 Distrito Federal";...;-;50,59;0,42;1,30;66,34;50,99;51,72;50,55;50,67;96,70;101,14;98,91;95,26;91,52;95,78;92,41;89,52;92,85;105,23;104,91;67,58;131,75;89,21;86,99;58,73;69,89
"Total";71,35;86,85;80,39;108,61;95,26;177,84;91,46;96,03;96,47;58,64;110,93;106,55;105,35;106,80;99,81;103,74;99,93;102,39;99,50;107,46;112,80;96,07;95,41;90,85;91,89;57,19;96,81
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

